sample_id_1,sample_id_2,text_1,text_2,label_1,label_2,same_label,cosine_similarity,review_status,review_comment
stg1_002639,stg1_002858,"Я хотел бы использовать ваше мобильное приложение, могу ли я получить помощь?","Я бы хотел использовать ваше мобильное приложение, могу ли я получить помощь?",technical_issue,technical_issue,True,0.9996666312217712,,
stg1_001084,stg1_001132,Я хотел бы узнать о ваших часах работы. Как мне найти дополнительную информацию?,Мне хотелось бы узнать о ваших часах работы. Как мне найти дополнительную информацию?,general_info,general_info,True,0.9995473623275757,,
stg1_002466,stg1_002529,"Мне бы хотелось узнать больше о следующих распродажах, найти некоторую информацию","Мне хотелось бы узнать больше о следующих распродажах, найти некоторую информацию",promo_loyalty,promo_loyalty,True,0.9994856715202332,,
stg1_002755,stg1_002779,"Мне бы хотелось воспользоваться твоим чертовым мобильным приложением, ты мне поможешь?","Я бы хотел воспользоваться твоим чертовым мобильным приложением, ты мне поможешь?",technical_issue,technical_issue,True,0.9993661642074585,,
stg1_002822,stg1_002862,"хочу воспользоваться твоим чертовым приложением, могу ли я получить помощь?","Я хочу воспользоваться твоим чертовым приложением, могу ли я получить помощь?",technical_issue,technical_issue,True,0.9992533922195435,,
stg1_002631,stg1_002861,"Я хотел бы использовать ваше приложение, как я могу это сделать?","Я бы хотел использовать ваше приложение, как я могу это сделать?",technical_issue,technical_issue,True,0.9991999268531799,,
stg1_001187,stg1_001412,"Мне нужно вернуть деньги, как мне это сделать?","Мне нужно вернуть деньги, как это сделать?",return_exchange,return_exchange,True,0.9990445375442505,,
stg1_002409,stg1_002482,"Ищу информацию о чертовых весенних распродажах, как мне ее получить?","Я ищу информацию о чертовых весенних распродажах, как мне ее получить?",promo_loyalty,promo_loyalty,True,0.9988755583763123,,
stg1_002524,stg1_002584,"Я хотел бы узнать больше о следующих распродажах, вы дадите мне некоторую информацию?","Я хотел бы узнать больше о следующих распродажах, ты дашь мне некоторую информацию?",promo_loyalty,promo_loyalty,True,0.9988222122192383,,
stg1_002383,stg1_002461,"Ищу информацию о чертовых распродажах, как мне ее найти?","Я ищу информацию о чертовых распродажах, как мне ее найти?",promo_loyalty,promo_loyalty,True,0.9987979531288147,,
stg1_002728,stg1_002740,"Я хочу использовать ваше мобильное приложение, как это сделать?","Я хочу использовать ваше мобильное приложение, как мне это сделать?",technical_issue,technical_issue,True,0.9987958073616028,,
stg1_000224,stg1_000278,"Мне нужно проверить наличие товара, как это сделать?","мне нужно проверить наличие товара, как мне это сделать?",product_info,product_info,True,0.998763918876648,,
stg1_002633,stg1_002653,"Я хочу использовать ваше приложение, как мне это сделать?","Я хочу использовать ваше приложение, как это сделать?",technical_issue,technical_issue,True,0.9987037777900696,,
stg1_002702,stg1_002759,"Я хотел бы использовать ваше мобильное приложение, как мне это сделать?","Я хотел бы использовать ваше мобильное приложение, как это сделать?",technical_issue,technical_issue,True,0.9985851645469666,,
stg1_000345,stg1_000590,"Мне нужно отменить товар, где это сделать?","Мне нужно отменить товар, где мне это сделать?",order_status,order_status,True,0.9985544681549072,,
stg1_002647,stg1_002893,Я хотел бы использовать ваше приложение,Я бы хотел использовать ваше приложение,technical_issue,technical_issue,True,0.9984803199768066,,
stg1_002372,stg1_002556,"Я хотел бы узнать больше о весенних распродажах, можете ли вы найти какую-нибудь информацию?","Я хочу узнать больше о весенних распродажах, можете ли вы найти какую-нибудь информацию?",promo_loyalty,promo_loyalty,True,0.9984721541404724,,
stg1_002690,stg1_002851,"приложение не работает на моем телефоне, я должен сообщить об этой чертовой проблеме","приложение не работает на моем телефоне, мне нужно сообщить об этой чертовой проблеме",technical_issue,technical_issue,True,0.9984603524208069,,
stg1_002439,stg1_002492,"Я хочу узнать больше о чертовых распродажах, можешь ли ты найти какую-нибудь информацию?","хочу узнать больше о чертовых распродажах, можешь ли ты найти какую-нибудь информацию?",promo_loyalty,promo_loyalty,True,0.9983429908752441,,
stg1_002598,stg1_002616,"Мне нужна информация о чертовых распродажах, как мне ее найти?","Мне нужна информация о чертовых распродажах, как ее найти?",promo_loyalty,promo_loyalty,True,0.9983417987823486,,
stg1_000222,stg1_000280,"Я хочу удалить товары из корзины, где я могу это сделать?","Я хочу удалить товары из корзины, где это можно сделать?",product_info,product_info,True,0.9982666969299316,,
stg1_002756,stg1_002804,"Я хочу воспользоваться твоим чертовым мобильным приложением, где это сделать?","Я хочу воспользоваться твоим чертовым мобильным приложением, где мне это сделать?",technical_issue,technical_issue,True,0.9982365369796753,,
stg1_002437,stg1_002460,"Я хочу узнать больше о распродажах, можете ли вы дать мне некоторую информацию?","Я хотел бы узнать больше о распродажах, можете ли вы дать мне некоторую информацию?",promo_loyalty,promo_loyalty,True,0.9981787800788879,,
